                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.3756,                 0.3723,                0.83789,                0.99909,                      1,                  0.995,                0.97502,                 0.2477,                0.30147,                 0.8217,              0.0096535,              0.0096535,              0.0096535
                     37,                0.36247,                0.35486,                0.81845,                0.99911,                      1,                  0.995,                 0.9768,                0.24205,                0.28559,                0.82459,              0.0096436,              0.0096436,              0.0096436
                     38,                0.37304,                0.37064,                0.84768,                0.99911,                      1,                  0.995,                0.96438,                0.28826,                0.28574,                0.83876,              0.0096337,              0.0096337,              0.0096337
                     39,                 0.3642,                0.35197,                0.83866,                 0.9991,                      1,                  0.995,                0.97452,                0.26351,                0.25596,                0.82801,              0.0096238,              0.0096238,              0.0096238
                     40,                0.38173,                0.34738,                0.84351,                0.99912,                      1,                  0.995,                0.99198,                0.19646,                0.23583,                0.81148,              0.0096139,              0.0096139,              0.0096139
                     41,                0.33969,                0.33502,                  0.836,                0.99909,                      1,                  0.995,                0.98032,                0.25395,                  0.268,                0.82208,               0.009604,               0.009604,               0.009604
                     42,                0.35977,                0.34364,                0.84546,                0.99907,                      1,                  0.995,                0.98305,                0.25344,                0.27763,                0.82042,              0.0095941,              0.0095941,              0.0095941
                     43,                0.35137,                0.33724,                0.82917,                0.99913,                      1,                  0.995,                0.98841,                  0.237,                0.27393,                0.81473,              0.0095842,              0.0095842,              0.0095842
                     44,                0.34488,                0.33112,                0.83509,                0.99908,                      1,                  0.995,                0.99249,                0.24792,                0.25888,                0.81999,              0.0095743,              0.0095743,              0.0095743
                     45,                0.34005,                0.33226,                0.83661,                0.99912,                      1,                  0.995,                0.99346,                0.23034,                 0.2471,                0.81536,              0.0095644,              0.0095644,              0.0095644
                     46,                0.33974,                 0.3339,                0.82665,                0.99913,                      1,                  0.995,                0.99368,                 0.2082,                 0.2322,                0.81337,              0.0095545,              0.0095545,              0.0095545
                     47,                0.34435,                0.32106,                0.83091,                0.99908,                      1,                  0.995,                0.99127,                 0.2061,                0.23247,                0.80927,              0.0095446,              0.0095446,              0.0095446
                     48,                0.34311,                0.31471,                  0.824,                0.99912,                      1,                  0.995,                 0.9767,                0.24303,                0.26435,                0.81476,              0.0095347,              0.0095347,              0.0095347
