epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3093.34,0.0977,0.09271,0.76257,0.99989,1,0.995,0.995,0.06185,0.06603,0.75727,0.00950658,0.00950658,0.00950658
45,3163.82,0.0985,0.09625,0.76598,0.99988,1,0.995,0.995,0.06208,0.07027,0.75879,0.00948377,0.00948377,0.00948377
46,3234.07,0.09366,0.09248,0.76298,0.9999,1,0.995,0.995,0.05778,0.06531,0.75636,0.00946048,0.00946048,0.00946048
47,3304.36,0.09637,0.09846,0.7624,0.9999,1,0.995,0.995,0.0635,0.06828,0.75746,0.00943671,0.00943671,0.00943671
48,3374.4,0.09781,0.09551,0.76409,0.99989,1,0.995,0.995,0.06444,0.0671,0.75702,0.00941245,0.00941245,0.00941245
49,3444.68,0.09379,0.09229,0.76858,0.99989,1,0.995,0.995,0.0585,0.06214,0.75686,0.00938772,0.00938772,0.00938772
50,3514.69,0.09194,0.09032,0.76385,0.9999,1,0.995,0.995,0.05627,0.05937,0.75541,0.00936251,0.00936251,0.00936251
51,3585.41,0.09129,0.08891,0.76225,0.99994,1,0.995,0.995,0.06076,0.06498,0.75626,0.00933683,0.00933683,0.00933683
52,3655.53,0.09599,0.09344,0.76507,0.99993,1,0.995,0.995,0.06678,0.06825,0.75751,0.00931067,0.00931067,0.00931067
53,3725.28,0.09155,0.08852,0.76321,1,1,0.995,0.995,0.05231,0.05774,0.75616,0.00928405,0.00928405,0.00928405
54,3795.63,0.08267,0.08231,0.761,0.99994,1,0.995,0.995,0.04925,0.05411,0.75478,0.00925697,0.00925697,0.00925697
55,3865.78,0.07967,0.07815,0.76135,0.99995,1,0.995,0.995,0.04763,0.05195,0.75438,0.00922942,0.00922942,0.00922942
56,3935.39,0.08642,0.08273,0.76074,0.99989,1,0.995,0.995,0.05897,0.06216,0.75514,0.00920142,0.00920142,0.00920142
57,4005.92,0.09007,0.08747,0.76037,0.99988,1,0.995,0.995,0.06984,0.07226,0.75875,0.00917296,0.00917296,0.00917296
58,4075.86,0.09215,0.09711,0.76596,0.9999,1,0.995,0.995,0.05411,0.06835,0.75523,0.00914405,0.00914405,0.00914405
59,4145.65,0.08388,0.08673,0.76122,0.9999,1,0.995,0.995,0.05384,0.05655,0.75565,0.00911469,0.00911469,0.00911469
60,4215.9,0.08563,0.08434,0.76357,0.99994,1,0.995,0.995,0.05055,0.05865,0.75416,0.00908488,0.00908488,0.00908488
61,4285.91,0.08556,0.08382,0.76053,0.99993,1,0.995,0.995,0.05889,0.06141,0.75548,0.00905463,0.00905463,0.00905463
62,4356.03,0.08621,0.08564,0.76295,0.99989,1,0.995,0.995,0.05361,0.05792,0.7545,0.00902395,0.00902395,0.00902395
63,4426.44,0.08019,0.07937,0.75847,0.99991,1,0.995,0.995,0.04883,0.05424,0.7534,0.00899282,0.00899282,0.00899282
64,4496.22,0.08452,0.08135,0.76174,0.9999,1,0.995,0.995,0.05428,0.05537,0.75463,0.00896127,0.00896127,0.00896127
65,4566.23,0.08753,0.08512,0.76139,0.99991,1,0.995,0.995,0.0549,0.05696,0.75471,0.00892928,0.00892928,0.00892928
66,4636.72,0.07822,0.07779,0.76219,0.99991,1,0.995,0.995,0.04524,0.05105,0.75356,0.00889687,0.00889687,0.00889687
67,4706.55,0.0755,0.07618,0.76007,0.99991,1,0.995,0.995,0.04726,0.05145,0.75415,0.00886404,0.00886404,0.00886404
68,4777.1,0.07956,0.07983,0.76085,0.99977,1,0.995,0.995,0.05521,0.05769,0.75443,0.00883079,0.00883079,0.00883079
69,4846.94,0.07994,0.08128,0.76046,0.9999,1,0.995,0.995,0.05214,0.05534,0.75454,0.00879713,0.00879713,0.00879713
70,4916.8,0.08042,0.08078,0.76032,0.99994,1,0.995,0.995,0.05179,0.05289,0.75371,0.00876305,0.00876305,0.00876305
71,4987.82,0.07416,0.07329,0.75835,0.9999,1,0.995,0.995,0.04426,0.04793,0.75329,0.00872857,0.00872857,0.00872857
72,5057.89,0.07827,0.07844,0.76281,0.99995,1,0.995,0.995,0.05134,0.05624,0.75378,0.00869368,0.00869368,0.00869368
73,5127.44,0.08091,0.07963,0.75878,0.99987,1,0.995,0.995,0.05385,0.05775,0.75442,0.00865839,0.00865839,0.00865839
74,5197.64,0.08073,0.079,0.76132,0.99992,1,0.995,0.995,0.04701,0.05149,0.75294,0.00862271,0.00862271,0.00862271
75,5267.64,0.07254,0.07146,0.75778,0.99995,1,0.995,0.995,0.04177,0.04628,0.75268,0.00858664,0.00858664,0.00858664
76,5337.44,0.07493,0.07389,0.75824,0.99991,1,0.995,0.995,0.04479,0.0497,0.75288,0.00855018,0.00855018,0.00855018
77,5407.99,0.07859,0.07759,0.75793,0.99991,1,0.995,0.995,0.04941,0.05176,0.75321,0.00851333,0.00851333,0.00851333
78,5478.33,0.07692,0.0766,0.76078,0.99995,1,0.995,0.995,0.04835,0.05498,0.75383,0.00847611,0.00847611,0.00847611
79,5548.53,0.07739,0.10592,0.75685,0.9999,1,0.995,0.995,0.05119,0.05386,0.75421,0.00843851,0.00843851,0.00843851
80,5619.65,0.07576,0.07612,0.75924,0.99991,1,0.995,0.995,0.05176,0.05595,0.75384,0.00840054,0.00840054,0.00840054
81,5689.47,0.07668,0.07536,0.75867,0.99995,1,0.995,0.995,0.05471,0.05642,0.754,0.0083622,0.0083622,0.0083622
82,5759.67,0.07293,0.07248,0.75816,0.99995,1,0.995,0.995,0.04396,0.04768,0.75308,0.00832349,0.00832349,0.00832349
83,5830.01,0.07087,0.07284,0.75758,0.99995,1,0.995,0.995,0.04306,0.05035,0.75244,0.00828443,0.00828443,0.00828443
84,5899.8,0.0814,0.08145,0.76013,0.99994,1,0.995,0.995,0.05464,0.05186,0.754,0.00824502,0.00824502,0.00824502
85,5970.49,0.08016,0.0815,0.76194,0.99991,1,0.995,0.995,0.04936,0.05715,0.75354,0.00820525,0.00820525,0.00820525
86,6040.58,0.07086,0.07267,0.75863,0.9999,1,0.995,0.995,0.04188,0.04813,0.75235,0.00816514,0.00816514,0.00816514
87,6109.01,0.06902,0.07073,0.75728,1,1,0.995,0.995,0.03869,0.04449,0.75227,0.00812468,0.00812468,0.00812468
88,6178.3,0.06931,0.06967,0.76027,0.99995,1,0.995,0.995,0.04363,0.04729,0.75257,0.00808389,0.00808389,0.00808389
89,6246.55,0.07115,0.07285,0.75972,0.99995,1,0.995,0.995,0.04614,0.05237,0.75279,0.00804277,0.00804277,0.00804277
90,6314.22,0.06985,0.07108,0.75938,0.99991,1,0.995,0.995,0.04146,0.04647,0.75215,0.00800131,0.00800131,0.00800131
91,6381.97,0.07631,0.07604,0.76009,0.99991,1,0.995,0.995,0.04632,0.05001,0.75233,0.00795954,0.00795954,0.00795954
92,6449.53,0.07198,0.07309,0.75997,0.99995,1,0.995,0.995,0.04533,0.0486,0.7524,0.00791744,0.00791744,0.00791744
93,6517.46,0.0723,0.0748,0.76082,1,1,0.995,0.995,0.04536,0.05216,0.7528,0.00787503,0.00787503,0.00787503
94,6585.15,0.06954,0.06961,0.76042,0.99994,1,0.995,0.995,0.04232,0.04587,0.75217,0.00783231,0.00783231,0.00783231
95,6652.53,0.06852,0.06896,0.75694,0.9999,1,0.995,0.995,0.04055,0.04468,0.75174,0.00778929,0.00778929,0.00778929
96,6719.99,0.06994,0.07133,0.75503,0.99992,1,0.995,0.995,0.04301,0.04739,0.75228,0.00774596,0.00774596,0.00774596
97,6787.84,0.07118,0.07387,0.75622,0.99995,1,0.995,0.995,0.04645,0.05153,0.75274,0.00770234,0.00770234,0.00770234
98,6855.71,0.06529,0.06753,0.76099,0.99991,1,0.995,0.995,0.0368,0.04145,0.75195,0.00765843,0.00765843,0.00765843
99,6923.46,0.0619,0.06461,0.75787,0.99996,1,0.995,0.995,0.03361,0.03895,0.75152,0.00761423,0.00761423,0.00761423
100,6991.1,0.06389,0.0664,0.75209,0.99995,1,0.995,0.995,0.04137,0.04411,0.75202,0.00756976,0.00756976,0.00756976
101,7058.61,0.06526,0.06746,0.75883,0.99995,1,0.995,0.995,0.04366,0.04813,0.75192,0.007525,0.007525,0.007525
102,7126.96,0.06182,0.06355,0.75249,0.99996,1,0.995,0.995,0.03577,0.03969,0.75144,0.00747997,0.00747997,0.00747997
103,7194.81,0.05959,0.06313,0.7547,0.99995,1,0.995,0.995,0.03339,0.03848,0.7513,0.00743468,0.00743468,0.00743468
104,7262.19,0.0624,0.06566,0.75509,0.99991,1,0.995,0.995,0.03608,0.03944,0.75159,0.00738913,0.00738913,0.00738913
105,7329.66,0.06464,0.06941,0.75858,0.99995,1,0.995,0.995,0.04061,0.04587,0.75158,0.00734332,0.00734332,0.00734332
106,7397.24,0.06022,0.06163,0.75195,1,1,0.995,0.995,0.03409,0.03818,0.75131,0.00729725,0.00729725,0.00729725
107,7465.19,0.06272,0.06248,0.76072,0.99995,1,0.995,0.995,0.03671,0.03898,0.7514,0.00725094,0.00725094,0.00725094
108,7532.81,0.06155,0.06218,0.75574,1,1,0.995,0.995,0.03409,0.03824,0.75119,0.00720439,0.00720439,0.00720439
109,7600.19,0.06723,0.06767,0.75867,0.99995,1,0.995,0.995,0.03668,0.04094,0.75144,0.00715761,0.00715761,0.00715761
110,7667.89,0.06304,0.06477,0.75693,0.99995,1,0.995,0.995,0.03646,0.03889,0.75144,0.00711059,0.00711059,0.00711059
