epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1086,0.33488,0.21837,0.79178,0.99668,0.99967,0.995,0.91121,0.48454,0.24173,0.83237,0.00995697,0.00995697,0.00995697
44,1110.82,0.34767,0.22162,0.79403,0.99964,0.99667,0.995,0.90493,0.48862,0.24918,0.83354,0.0099549,0.0099549,0.0099549
45,1135.92,0.33926,0.21558,0.79212,0.99977,1,0.995,0.91649,0.45324,0.23602,0.8264,0.00995278,0.00995278,0.00995278
46,1160.91,0.33272,0.21733,0.79011,0.99926,1,0.995,0.92171,0.45792,0.23212,0.82462,0.00995062,0.00995062,0.00995062
47,1186.44,0.32927,0.21594,0.79258,0.99789,1,0.995,0.91739,0.44874,0.23019,0.82443,0.0099484,0.0099484,0.0099484
48,1211.94,0.32517,0.21,0.78562,0.99317,1,0.995,0.91622,0.45953,0.23955,0.82772,0.00994614,0.00994614,0.00994614
49,1236.97,0.32371,0.20821,0.78763,0.99967,1,0.995,0.91645,0.44805,0.22951,0.82613,0.00994383,0.00994383,0.00994383
50,1262.21,0.31753,0.20889,0.7921,0.99959,1,0.995,0.91674,0.45533,0.22335,0.8239,0.00994147,0.00994147,0.00994147
51,1287.31,0.31546,0.20651,0.78841,0.98982,1,0.99473,0.91138,0.46488,0.23615,0.82699,0.00993906,0.00993906,0.00993906
52,1312.27,0.32113,0.20776,0.78482,0.99915,1,0.995,0.91087,0.46608,0.23415,0.8283,0.0099366,0.0099366,0.0099366
53,1337.18,0.31284,0.20398,0.78254,0.98665,1,0.99446,0.90442,0.48034,0.23971,0.83244,0.0099341,0.0099341,0.0099341
54,1362.02,0.31032,0.20268,0.78615,0.99963,1,0.995,0.91751,0.45361,0.22454,0.82444,0.00993154,0.00993154,0.00993154
55,1386.98,0.31355,0.20348,0.78584,0.99629,1,0.995,0.91742,0.4547,0.23006,0.82292,0.00992894,0.00992894,0.00992894
56,1412.34,0.30766,0.2016,0.78834,0.99975,1,0.995,0.92008,0.44814,0.22579,0.82353,0.00992629,0.00992629,0.00992629
57,1437.81,0.29731,0.19968,0.77981,0.99989,1,0.995,0.92042,0.43845,0.21996,0.82002,0.00992359,0.00992359,0.00992359
58,1463.02,0.29812,0.19489,0.7856,0.99919,1,0.995,0.91073,0.46624,0.2295,0.82888,0.00992085,0.00992085,0.00992085
59,1488.02,0.29685,0.19809,0.77935,0.99645,1,0.99487,0.9266,0.43219,0.22643,0.82219,0.00991805,0.00991805,0.00991805
60,1513.29,0.29717,0.19734,0.78227,0.98979,1,0.99497,0.91322,0.4587,0.22862,0.82676,0.00991521,0.00991521,0.00991521
61,1538.36,0.28968,0.19499,0.7797,0.99973,1,0.995,0.92412,0.43871,0.2185,0.82299,0.00991232,0.00991232,0.00991232
